Station,Code,Lat,Lon,Street,Number,Postal Code,City,Country
s-Hertogenbosch,HT,51.69048,5.29362,Stationspasserelle,10,5211 AZ,'s-Hertogenbosch,Netherlands
s-Hertogenbosch Oost,HTO,51.70055389,5.318333149,Zandzuigerstraat,101,5231 XW,'s-Hertogenbosch,Netherlands
t Harde,HDE,52.4091682,5.893611,Eperweg,123,8084 HD,'t Harde,Netherlands
Aachen Hbf,AHBF,50.7678,6.091499,Bahnhofplatz,1,52064,Aachen,Germany
Aachen Rothe Erde,ARE,50.77017648,6.116466522,Adalbertsteinweg,284,52066,Aachen,Germany
Aachen Schanz,ASCH,50.76987114,6.073830128,An der Schanz,3,52064,Aachen,Germany
Aachen West,AW,50.78036,6.070715,Seffenter Weg,??,52074,Aachen,Germany
Aalten,ATN,51.92132652,6.578627229,Stationsstraat,38,7122 AT,Aalten,Netherlands
Abcoude,AC,52.2785,4.977,Spoorlaan,??,1391,Abcoude,Netherlands
Ahaus,EAHS,52.07979612,7.016358376,Parallelstraße,10,48683,Ahaus,Germany
Aime-la-Plagne,AIME,45.55438,6.64869,Avenue de la Gare,118,73210,Aime,France
Aix-en-Provence,AIXTGV,43.52281908,5.445313454,Avenue Maurice Blondel,2-4,13100,Aix-en-Provence,France
Akkrum,AKM,53.04639053,5.84361124,Alde Rykswei,??,8491,Akkrum,Netherlands
Albertville,ALBERT,45.67302,6.38306,Avenue Général de Gaulle,6,73200,Albertville,France
Alessandria,ALESS,44.90927,8.60649,Spalto Borgoglio,57,15121,Alessandria,Italy
Alkmaar,AMR,52.63777924,4.739722252,Stationsweg,43B,1815 CB,Alkmaar,Netherlands
Alkmaar Noord,AMRN,52.64389038,4.764166832,Drechterwaard,102-104,1824 DX,Alkmaar,Netherlands
Almelo,AML,52.35805511,6.653888702,Parallelweg,50,7604 TX,Almelo,Netherlands
Almelo de Riet,AMRI,52.34194565,6.666666508,Rietstraat,226,7606 BW,Almelo,Netherlands
Almere Buiten,ALMB,52.39416504,5.278055668,Keerkringplein,48,1334 BS,Almere,Netherlands
Almere Centrum,ALM,52.37503,5.21764,Busplein,40,1315 KV,Almere,Netherlands
Almere Muziekwijk,ALMM,52.36750031,5.190277576,Chopinpad,??,1323,Almere,Netherlands
Almere Oostvaarders,ALMO,52.40333176,5.300555706,Insulindepad,??,1335,Almere,Netherlands
Almere Parkwijk,ALMP,52.37666702,5.244722366,Spoorbaanpad,95,1326 CN,Almere,Netherlands
Almere Poort,AMPO,52.342778,5.151944,??,??,1362,Almere,Netherlands
Alphen a/d Rijn,APN,52.12444305,4.657777786,Stationsplein,10,2405 BK,Alphen aan Den Rijn,Netherlands
Altenberge,EABG,52.05223,7.481202,Eisenbahnstraße,2,48341,Altenberge,Germany
Amersfoort Centraal,AMF,52.1538887,5.370555401,Stationsplein,147,3818 LE,Amersfoort,Netherlands
Amersfoort Schothorst,AMFS,52.17482214,5.403888702,Zielhorsterweg,65,3813 ZX,Amersfoort,Netherlands
Amersfoort Vathorst,AVAT,52.19277954,5.433888912,Laakboulevard,??,3829,Hooglanderveen,Netherlands
Amsterdam Amstel,ASA,52.34666824,4.917778015,Julianaplein,1A,1097 DN,Amsterdam,Netherlands
Amsterdam Bijlmer ArenA,ASB,52.31222153,4.946944237,ArenA Boulevard,618,1102,Amsterdam Zuid-Oost,Netherlands
Amsterdam Centraal,ASD,52.37888718,4.900277615,Stationsplein,2,1012,Amsterdam,Netherlands
Amsterdam Holendrecht,ASHD,52.29844,4.95972,Meibergdreef,2,1105 AX,Amsterdam Zuid-Oost,Netherlands
Amsterdam Lelylaan,ASDL,52.35777664,4.833889008,Cornelis Lelylaan,37,1062 HD,Amsterdam,Netherlands
Amsterdam Muiderpoort,ASDM,52.36055374,4.931111336,Oosterspoorplein,1,1093 JW,Amsterdam,Netherlands
Amsterdam RAI,RAI,52.33722305,4.890277863,Ringweg Zuid,??,??,Amsterdam,Netherlands
Amsterdam Science Park,ASSP,52.35526,4.94651,Carolina MacGillavrylaan,1882,1098,Amsterdam,Netherlands
Amsterdam Sloterdijk,ASS,52.38888931,4.837777615,Orlyplein,109,1043 DT,Amsterdam,Netherlands
Amsterdam Van der Madeweg,VMW,52.330134,4.92975,Entrada,512,1115 SE,Duivendrecht,Netherlands
Amsterdam Zuid,ASDZ,52.33889008,4.871666431,Ringweg Zuid,??,1082,Amsterdam,Netherlands
Anna Paulowna,ANA,52.86722183,4.811110973,Stationsweg,21,1761 EB,Anna Paulowna,Netherlands
Antwerpen-Berchem,BERCH,51.2001783,4.4327702,Binnensingel,103,2600,Antwerpen,Belgium
Antwerpen-Centraal,ATW,51.2161,4.42122,Pelikaanstraat,29,2018,Antwerpen,Belgium
Antwerpen-Luchtbal,ATWLB,51.2449375,4.4251543,Groenendaallaan,??,2170,Antwerpen,Belgium
Antwerpen-Noorderdokken,ANDD,51.261686,4.4274315,Argentiniëlaan,2,2030,Antwerpen,Belgium
Antwerpen-Zuid,FNZD,51.19785,4.39027,Kolonel Silvertopstraat,??,2018,Antwerpen,Belgium
Apeldoorn,APD,52.20916748,5.970277786,Stationsplein,22,7311,Apeldoorn,Netherlands
Apeldoorn De Maten,APDM,52.20527649,6.000555515,Laan van Zonnehoeve,13,7325 AV,Apeldoorn,Netherlands
Apeldoorn Osseveld,APDO,52.21527863,6.004444599,Linie,542,7325 DZ,Apeldoorn,Netherlands
Appingedam,APG,53.3258135,6.8619577,Spoorbaan,2,9901 DD,Appingedam,Netherlands
Arkel,AKL,51.87194443,4.992777824,Parallelweg,??,4241,Arkel,Netherlands
Arnemuiden,ARN,51.50166702,3.669166565,Singel,??,4341,Arnemuiden,Netherlands
Arnhem Centraal,AH,51.98500061,5.899166584,Renssenbrug,??,6811,Arnhem,Netherlands
Arnhem Presikhaaf,AHPR,51.98805618,5.943888664,Eleonorastraat,13,6824 EX,Arnhem,Netherlands
Arnhem Velperpoort,AHP,51.98527908,5.919444561,Sonsbeeksingel,153-155,6822 BM,Arnhem,Netherlands
Arnhem Zuid,AHZ,51.95500183,5.851944447,Viaduct Schuytgraaf,??,??,Arnhem,Netherlands
Ashford International,ASHFD,51.14371,0.87612,Dover Place,1,TN23 1HU,Ashford,United Kingdom
Assen,ASN,52.99166489,6.570833206,Stationsplein,2,9401 LB,Assen,Netherlands
Augsburg Hbf,MA,48.36543071,10.88547707,Viktoriastraße,1,86150,Augsburg,Germany
Avignon TGV,AVTGV,43.92194,4.78604,Place de l'Europe,9015F,84000,Avignon,France
Baarn,BRN,52.20833206,5.280833244,Stationsplein,66A,3743 KM,Baarn,Netherlands
Bad Bentheim,BH,52.3096856,7.158536911,Am Bahnhof,1I,48455,Bad Bentheim,Germany
Bad Nieuweschans,NSCH,53.1844,7.19937,Stationsstraat,27,9693 AA,Bad Nieuweschans,Netherlands
Bad Oeynhausen,OEYNH,52.205461,8.796932,Herforder Straße,80,32545,Bad Oeynhausen,Germany
Bad Schandau,BADSCH,50.91851,14.14,Am Bahnhof,5,1814,Bad Schandau,Germany
Baden,BADENZ,47.47638,8.30772,Bahnhofstrasse,25,5400,Baden,Switzerland
Baden-Baden,RBB,48.790082,8.190468,B3,??,76532,Baden-Baden,Germany
Baflo,BF,53.3608969,6.5185581,Stationsweg,2,9953 RG,Baflo,Netherlands
Barendrecht,BRD,51.85472107,4.553333282,Zuideinde,??,2991,Barendrecht,Netherlands
Barneveld Centrum,BNC,52.13999939,5.590277672,Stationsplein,4,3771 ES,Barneveld,Netherlands
Barneveld Noord,BNN,52.1613884,5.598055363,Spoorlijnpad,??,3771,Barneveld,Netherlands
Barneveld Zuid,BNZ,52.128853,5.60246,Oud Vellerseweg,10,3772 PA,Barneveld,Netherlands
Basel Bad Bf,BASELB,47.56815,7.6073,Schwarzwaldallee,200,4058,Basel,Switzerland
Basel SBB,BASELS,47.5474,7.58956,Centralbahnstrasse,18,4051,Basel,Switzerland
Bedum,BDM,53.3068857,6.593054,Parallelweg,??,9781,Bedum,Netherlands
Beek-Elsloo,BK,50.94749832,5.78666687,Aan de Drie Heren,4,6191 BH,Beek,Netherlands
Beesd,BSD,51.89944458,5.194444656,Stationsweg,4,4153 RD,Beesd,Netherlands
Beilen,BL,52.85472107,6.521111012,Stationslaan,11,9411 PS,Beilen,Netherlands
Belsele,LLB,51.150833,4.088332,Kerkstraat,28,9111,Sint-Niklaas,Belgium
Bergen op Zoom,BGN,51.49388885,4.296111107,Parallelweg,56-57,4621 JS,Bergen op Zoom,Netherlands
Berlin Hbf,BERHBL,52.52503,13.36946,Europaplatz,2,10557,Berlin,Germany
Berlin Hbf (tief),BERHBT,52.525555,13.369444,Europaplatz,2,10557,Berlin,Germany
Berlin Ostbahnhof,BHF,52.5104989,13.4346995,Koppenstraße,3,10243,Berlin,Germany
Berlin Südkreuz,BPAF,52.47611,13.365,Hildegard-Knef-Platz,??,10829,Berlin,Germany
Berlin-Schönefeld Flug.,BERFL,52.3915,13.513,Flughafen,??,12529,Schönefeld,Germany
Berlin-Spandau,BSPD,52.5343152,13.1989467,Klosterstraße,2,13581,Berlin,Germany
Best,BET,51.50999832,5.389166832,Stationsstraat,1,5683 BA,Best,Netherlands
Beveren,FBR,51.208056,4.259444,Kruibekesteenweg,5,9120,Beveren,Belgium
Beverwijk,BV,52.47833252,4.656666756,A22,??,1948,Beverwijk,Netherlands
Bielefeld Hbf,BIELEF,52.029261,8.532722,Am Bahnhof,8,33602,Bielefeld,Germany
Bilthoven,BHV,52.13000107,5.203888893,Spoorlaan,3A,3721 PA,Bilthoven,Netherlands
Bilzen,FIE,50.868333,5.509167,Nieuwstraat,27,3740,Bilzen,Belgium
Bischofshofen,BISCHO,47.41748,13.21991,Bahnhofgasse,2,5500,Bischofshofen,Austria
Blerick,BR,51.37250137,6.15500021,Kazernestraat,3,5928 NL,Venlo,Netherlands
Bloemendaal,BLL,52.40416718,4.627500057,Zuider Stationsweg,20,2061 HE,Bloemendaal,Netherlands
Bludenz,BLUDEN,47.15473,9.81456,Bahnhofplatz,7,6700,Bludenz,Austria
Bodegraven,BDG,52.08139038,4.746110916,Stationsplein,5,2411 EH,Bodegraven,Netherlands
Boisheim,KBOI,51.274323,6.274591,Raiffeisenstraße,24,41751,Viersen,Germany
Bonn Hbf,BONN,50.73201416,7.097125053,Am Hauptbahnhof,4-6,53111,Bonn,Germany
Boom,FMB,51.09063,4.36057,Statiestraat,??,2850,Boom,Belgium
Bork,EBOK,51.66988,7.45664,Bahnhofstraße,60,59379,Selm,Germany
Borne,BN,52.29888916,6.748055458,Ruwerstraat,130,7621 SV,Borne,Netherlands
Boskoop,BSK,52.07777786,4.646944523,Parklaan,8-10,2771 GB,Boskoop,Netherlands
Bourg-St-Maurice,BOURG,45.61918,6.77167,Place de la Gare,1,73700,Bourg-Saint-Maurice,France
Boven-Hardinxveld,BHDV,51.832222,4.878056,Parallelweg,166,3371 GH,Hardinxveld-Giessendam,Netherlands
Bovenkarspel Flora,BKF,52.69610977,5.252777576,Broekerhavenweg,75,1611 CA,Bovenkarspel,Netherlands
Bovenkarspel-Grootebroek,BKG,52.69499969,5.23777771,Middenweg,14,1611 KP,Bovenkarspel,Netherlands
Boxmeer,BMR,51.64452177,5.939033031,Stationsweg,1,5831 CR,Boxmeer,Netherlands
Boxtel,BTL,51.58433,5.31912,Traverse,??,5281,Boxtel,Netherlands
Braunschweig Hbf,BRAUNS,52.25224,10.53971,Berliner Platz,1,38102,Braunschweig,Germany
Breda,BD,51.59555435,4.78000021,Centraal Busstation,??,4815,Breda,Netherlands
Breda-Prinsenbeek,BDPB,51.60638809,4.720833302,Moskespad,??,4822,Breda,Netherlands
Bressoux,BRESSX,50.643829,5.6112542,Rue dela Lèche,34,4020,Liège,Belgium
Breukelen,BKL,52.17149,4.9906,De Corridor,5,3621 ZA,Breukelen,Netherlands
Breyell,KBRY,51.294615,6.241174,Josefstraße,67,41334,Nettetal,Germany
Brummen,BMN,52.09111023,6.146944523,Stationsweg,1,6971 BX,Brummen,Netherlands
Brussel Nat. Luchthaven,FBNL,50.896389,4.481943,Leopoldlaan,260,1934,Zaventem,Belgium
Brussel-Centraal,BRUSC,50.8454658,4.3571135,Kantersteen,8,1000,Brussel,Belgium
Brussel-Noord,BRUSN,50.8605262,4.3617873,Aarschotstraat,52,1030,Schaarbeek,Belgium
Brussel-Zuid/Midi,BRUSZ,50.8350108,4.3345957,Rue de France,42,1070,Saint-Gilles,Belgium
Buitenpost,BP,53.2564547,6.1446496,Stationsplein,2,9285 VW,Buitenpost,Netherlands
Bunde,BDE,50.89694595,5.736666679,Prinses Wilhelminaweg,27,6241 EV,Bunde,Netherlands
Bunnik,BNK,52.06305695,5.194444656,Groeneweg,150B,3981 CP,Bunnik,Netherlands
Bussum Zuid,BSMZ,52.26583481,5.16305542,Struiheiweg,??,1406,Bussum,Netherlands
Bönen,EBEO,51.598015,7.757296,Am Bahnhof,2,59199,Bönen,Germany
Bünde (Westf),BUENDE,52.202075,8.573876,Bahnhofstraße,90,32257,Bünde,Germany
Capelle Schollevaar,CPS,51.95416641,4.584166527,Stationsplein,1B,2907 MJ,Capelle aan Den IJssel,Netherlands
Castricum,CAS,52.54583359,4.658611298,Stationsweg,6,1901 AA,Castricum,Netherlands
Chambéry,CHAMB,45.57127,5.91953,Avenue de la Boisse,2-80,73000,Chambéry,France
Chevremont,CVM,50.87611008,6.059722424,Schoutstraat,73,6463 EE,Kerkrade,Netherlands
Chur,CHUR,46.853333,9.528333,Bahnhofplatz,1,7000,Chur,Switzerland
Coesfeld (Westf),ECMF,51.939,7.1642,Bahnweg,1,48653,Coesfeld,Germany
Coevorden,CO,52.66361237,6.735555649,Stationsstraat,16,7741 EK,Coevorden,Netherlands
Como,COMO,45.80936,9.07325,Via Tokamachi,??,22100,Como,Italy
Cuijk,CK,51.72668259,5.874295235,Stationsplein,2-3,5431 CE,Cuijk,Netherlands
Culemborg,CL,51.94666672,5.226944447,Parallelweg Oost,19,4103 NC,Culemborg,Netherlands
Daarlerveen,DA,52.4407702,6.5759947,Grote Veenweg,2-4,7687 AV,Daarlerveen,Netherlands
Dalen,DLN,52.69416809,6.758055687,Kymmelskampen,3-4,7751 GN,Dalen,Netherlands
Dalfsen,DL,52.49833298,6.258611202,Heinoseweg,1,7722 JM,Dalfsen,Netherlands
De Vink,DVNK,52.14722061,4.45638895,Maria Austriapad,??,2331,Leiden,Netherlands
De Westereen,DWE,53.24817,6.03463,Bûterwei,14,9271 EN,De Westereen,Netherlands
Decin hl.n.,DECIN,50.77342,14.20125,Československé mládeže,4,405 02,Děčín,Czech Republic
Deinum,DEI,53.1888115,5.7281572,Spoorstrjitte,18,9033 WJ,Deinum,Netherlands
Delden,DDN,52.25999832,6.716111183,De Reigerstraat,78,7491 XV,Delden,Netherlands
Delft,DT,52.00666809,4.356389046,Van Leeuwenhoeksingel,42B,2611 AC,Delft,Netherlands
Delft Zuid,DTZ,51.99083328,4.364722252,Kruithuispad,??,2623 CS,Delft,Netherlands
Delfzijl,DZ,53.3336625,6.9240797,Johan van Den Kornputplein,1A,9934 EA,Delfzijl,Netherlands
Delfzijl West,DZW,53.3320834,6.9069092,Hogelandsterweg,??,??,Delfzijl,Netherlands
Den Dolder,DLD,52.14027786,5.242777824,Fornheselaan,50,3734 GD,Den Dolder,Netherlands
Den Haag Centraal,GVC,52.08027649,4.324999809,Rijnstraat,8,2515 XP,Den Haag,Netherlands
Den Haag HS,GV,52.06972122,4.322500229,Stationsplein,49,2515 BW,Den Haag,Netherlands
Den Haag Laan v NOI,LAA,52.07860947,4.342777729,Van Alphenstraat,92,2274 ND,Voorburg,Netherlands
Den Haag Mariahoeve,GVM,52.0905571,4.36944437,Appelgaarde,??,2272 TD,Voorburg,Netherlands
Den Haag Moerwijk,GVMW,52.05389023,4.308610916,Hildebrandstraat,90,2524 VL,Den Haag,Netherlands
Den Haag Ypenburg,YPB,52.05527878,4.392222404,Ypenburgse Stationsweg,??,2496,Den Haag,Netherlands
Den Helder,HDR,52.95527649,4.761111259,Boerhaavestraat,38,1782 AB,Den Helder,Netherlands
Den Helder Zuid,HDRZ,52.93249893,4.764166832,Voeetgangers/fietstunnel station Zuid,??,1785,Den Helder,Netherlands
Deurne,DN,51.45583344,5.788888931,Fabriekstraat,16,5753 AH,Deurne,Netherlands
Deventer,DV,52.25749969,6.160555363,Stationsplein,6,7411 HB,Deventer,Netherlands
Deventer Colmschate,DVC,52.25027847,6.214444637,Piet van Donkplein,1,7422 LW,Deventer,Netherlands
Didam,DID,51.933502,6.1324106,Stationslaan,5,6942 EG,Didam,Netherlands
Diemen,DMN,52.34583282,4.965555668,Martin Luther Kinglaan,24,1111,Diemen,Netherlands
Diemen Zuid,DMNZ,52.33027649,4.955833435,Diemerdreef,2,1112 CK,Diemen,Netherlands
Diepenbeek,GDP,50.910278,5.419722,Spoorstraat,1,3590,Diepenbeek,Belgium
Dieren,DR,52.04499817,6.103055477,Noorder Parallelweg,27,6951 AA,Dieren,Netherlands
Doetinchem,DTC,51.9585962,6.2962148,Stationsplein,8,7005 AK,Doetinchem,Netherlands
Doetinchem De Huet,DTCH,51.9591413,6.2598521,Jan Willinkstraat,2,7006 NA,Doetinchem,Netherlands
Domodossola,DOMOD,46.11529,8.29624,Piazza Giacomo Matteotti,25,28845,Domodossola,Italy
Dordrecht,DDR,51.80722046,4.66833353,Stationsplein,1,3311 JV,Dordrecht,Netherlands
Dordrecht Stadspolders,DDRS,51.80194473,4.716666698,Dudokplein,200,3315 KH,Dordrecht,Netherlands
Dordrecht Zuid,DDZD,51.79000092,4.671389103,Randweg,??,3318,Dordrecht,Netherlands
Dortmund Derne,EDD,51.56754,7.52855,Molkenstraße,7B/C,44329,Dortmund,Germany
Dortmund Hbf,EDO,51.517896,7.45929,Königswall,15,44137,Dortmund,Germany
Dortmund Kirchderne,EDKD,51.547076,7.510099,Rüschebrinkstraße,408,44328,Dortmund,Germany
Dresden Hbf,DRESD,51.04056,13.73203,Wiener Platz,4,1069,Dresden,Germany
Dresden-Neustadt,DRESDN,51.06581,13.741,Schlesischer Platz,1,1097,Dresden,Germany
Driebergen-Zeist,DB,52.0652771,5.258611202,Stationsweg,4,3972 KA,Driebergen-Rijsenburg,Netherlands
Driehuis,DRH,52.44250107,4.638055325,Van Den Vondellaan,100,1985 BD,Driehuis,Netherlands
Dronrijp,DRP,53.1778086,5.6347411,Hatzum,13B,9035 VK,Dronryp,Netherlands
Dronten,DRON,52.5344,5.72089,De Noord,??,8251,Dronten,Netherlands
Duffel,FDP,51.091389,4.493056,Spoorweglaan,??,2570,Duffel,Belgium
Duisburg Hbf,DUISB,51.42977857,6.775903702,Kammerstraße,3,47057,Duisburg,Germany
Duiven,DVN,51.94333267,6.014722347,Parallelweg,32,6922 HR,Duiven,Netherlands
Duivendrecht,DVD,52.32333374,4.936388969,Stationsplein,1,1115 BZ,Duivendrecht,Netherlands
Dülken,KDUL,51.257149,6.33793,Am Bahnhof,1,41751,Viersen,Germany
Dülmen,EDULH,51.827927,7.295756,Baumschulenweg,70,48249,Dülmen,Germany
Düren,KDR,50.8094,6.48203,Hauptbahnhof,1,52351,Düren,Germany
Düsseldorf Hbf,DUSSEL,51.220146,6.793137,Konrad-Adenauer-Platz,14,40210,Düsseldorf,Germany
Ebbsfleet International,EBBS,51.44297,0.32095,International Way,??,DA11,??,United Kingdom
Echt,EC,51.10055542,5.878889084,Stationsweg,1,6101 HK,Echt,Netherlands
Ede Centrum,EDC,52.04360962,5.66833353,Museumplein,7,6711 NA,Ede,Netherlands
Ede-Wageningen,ED,52.02777863,5.673055649,Klinkenbergerweg,116,6711 ML,Ede,Netherlands
Eijs-Wittem,WTM,50.82317,5.92479,Wittemerweg,5,6287 AA,Eys,Netherlands
Eijsden,EDN,50.77194595,5.710000038,Stationsplein,7-8,6245 AE,Eijsden,Netherlands
Eilendorf,EDF,50.785561,6.154367,Kehrbrückstraße,17,52080,Aachen,Germany
Eindh Beukenln tot 13 dec,EHB,51.45111084,5.455833435,Achtseweg Zuid,151,5651 GW,Eindhoven,Netherlands
Eindhoven,EHV,51.44333267,5.481389046,Kennedyplein,230,5611,Eindhoven,Netherlands
Eindhoven Strijp-S,EHS,51.45111084,5.455833435,Achtseweg Zuid,151,5651 GW,Eindhoven,Netherlands
Ekeren,LKR,51.2816099,4.4341227,Statiestraat,9,2180,Antwerpen,Belgium
Elst,EST,51.9169426,5.855000019,Oude Aamsestraat,??,6662,Elst,Netherlands
Emmen,EMN,52.79000092,6.89944458,Stationsstraat,79,7811 GS,Emmen,Netherlands
Emmen Zuid,EMNZ,52.74886637,6.874780655,Nieuw Amsterdamsestraat,86,??,Emmen,Netherlands
Emmerich,EM,51.834283,6.255718,Bahnhofstraße,23,46446,Emmerich am Rhein,Germany
Enkhuizen,EKZ,52.69916534,5.286388874,Bosmankade,??,1601,Enkhuizen,Netherlands
Ennepetal (Gevelsberg),EENP,51.304892,7.343285,Bahnhofstraße,19,58256,Ennepetal,Germany
Enschede,ES,52.22249985,6.889999866,Stationsplein,33,7511 JD,Enschede,Netherlands
Enschede De Eschmarke,ESE,52.22138977,6.951111317,Lenteweg,20,7532 RB,Enschede,Netherlands
Enschede Drien tot 13 dec,ESD,52.23749924,6.838889122,Forum,10,7521 PM,Enschede,Netherlands
Enschede Kennispark,ESK,52.23749924,6.838889122,Forum,10,7521 PM,Enschede,Netherlands
Epe (Westf),EEPE,52.18346,7.03009,Zum Bahnhof,42A,48599,Gronau (Westfalen),Germany
